Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
Mexacarbate,0.03835138,0.049336208,0.040747473,0.059904021,0.038082398,0.043465824,0.044190484,0.0483898,0.031113291,0.03708715,0.047539493,0.046324446,0.031039056,0.036417323,0.062558584,0.047789138
Midodrine,0.043298618,0.070516246,0.047684191,0.051623661,0.047631772,0.045505426,0.048058925,0.057152492,0.048019285,0.058280903,0.056978737,0.052826889,0.048043368,0.059834713,0.085924386,0.054763951
Miglitol,0.272117444,0.598800072,0.722008423,0.804176563,0.451117572,0.55249977,0.234335048,0.131165388,0.191269919,0.160419226,0.175956262,0.27475673,0.273641172,0.242131399,0.255170943,0.352771359
Misonidazole,0.564970189,0.496024199,0.613449332,0.570255634,0.158180327,0.128532922,0.213821602,0.387730276,0.225717989,0.114952072,0.123393918,0.089501663,0.21334617,0.340401562,0.119458724,0.288174251
Misoprostol,0.218568463,0.322683403,0.281567934,0.157425725,0.508529291,0.499011046,0.508505108,0.755738334,0.475307236,0.699671566,0.480306005,0.220251844,0.2900083,0.483387103,0.319629251,0.297341775
Mitragynine,0.789652862,0.362678431,0.415570083,1.900805519,0.26858979,0.097045036,0.160859354,0.066591844,16.98115576,12.24603406,2.298024008,4.467911332,11.80516707,18.11663521,7.161359903,0.395195656
Molindone,5.84625177,2.553299462,8.933610353,2.893720628,2.44726019,2.039145785,2.026677351,1.175197827,1.949978264,2.401116645,1.594961593,2.196974304,1.722751091,2.631785852,3.409232697,3.32579968
Mono(5-carboxy-2-ethylpentyl) phthalate,0.623461895,0.100996034,0.15480585,0.215367074,0.280975771,0.621133621,0.575224034,2.073264276,0.312263198,1.35898984,0.311811323,0.882725373,0.899386854,0.311261277,1.0058676,0.116709852
Mucronine B,0.54310181,0.874278838,0.403236626,0.581404531,0.198191939,0.699956774,0.521895347,0.733974551,0.77330373,1.053439479,0.506644687,0.768973256,0.586773404,0.736802428,0.979668537,0.732679444
Myriocin,2.082587665,0.079470716,0.403651892,1.56574195,0.040142238,0.191068372,0.24671544,0.777198298,3.99529216,6.374819029,3.033806057,2.176977363,0.276447279,1.910661341,0.485013619,0.454527164
Myristicin,2.504080743,1.973222251,3.3243001,2.091720141,3.151708766,3.455753958,3.75236774,3.063082247,2.991654574,4.39548228,2.243918544,3.309643244,2.873413719,3.644326228,2.159954968,1.674847571
Myrmicacin,1.085207563,1.278295247,1.450704693,0.564276342,0.13045717,0.976236206,0.56639514,1.041841248,1.252051814,1.704147733,1.106004433,0.734067613,1.841078795,1.658228883,1.639871968,0.956086432
Myxalamid A,8.473000182,17.34052114,5.255449256,7.434142084,10.14981827,14.42168962,11.84732303,10.57568841,11.98432963,12.54383726,12.5095065,13.00275357,11.25892499,14.98165386,17.18112674,13.83394131
Myxalamid C,0.163900639,0.213169034,0.156182555,0.089665977,1.316003079,0.195506528,0.236736968,0.402772658,1.098299723,1.423043274,0.173908882,0.402891708,1.930481355,0.898090257,0.36621772,0.245790544
"N(6),N(6)-Dimethyladenine",1.361643164,1.561925954,1.899586533,1.319760963,2.000312179,2.42555338,2.421670527,0.365278146,0.898345952,0.169876324,2.084689141,0.427823204,0.770362558,0.144160995,0.340765745,2.746363469
N(6)-[(indol-3-yl)acetyl]-L-lysine,1.015534953,0.562451069,0.681532888,1.054721423,0.507951952,1.029285409,1.085625825,1.599053713,0.603029042,0.910999242,0.865508071,0.965311327,1.071053958,0.30013369,0.810236649,0.981129786
"N,N-Bis(2-hydroxyethyl)dodecanamide",0.791222041,1.426855104,0.870222929,1.360976556,0.793260501,1.142300594,0.861472484,1.288095423,1.119363353,1.431837415,1.441640718,1.059145394,0.994727301,1.305988361,1.980083181,1.5400114
"N,N-Bis(2-hydroxyethyl)formamide",53.28922536,73.24428325,90.49683791,74.58381191,19.231499,11.24843757,14.32428593,8.908085555,2.053566181,5.652009378,5.583505913,45.82245072,27.66613276,5.66245216,37.08446711,63.50418067
"N,N-Diethyl-3-{(4R,7S,8aS)-7-[(isopropylcarbamoyl)amino]-1-oxooctahydropyrrolo[1,2-a]pyrazin-4-yl}propanamide",0.026037607,0.037642331,0.02719841,0.028651644,0.022199921,0.025335068,0.122820325,0.178868203,0.025933178,0.034084778,0.035256696,0.027151093,0.026003921,0.033924558,0.047937592,0.031416001
"N,N-Diethyl-4-methyl-1-piperazinecarboxamide 4-oxide",0.47216333,0.647836118,1.305664265,0.646835528,0.626842501,0.609444001,0.568346084,0.481522804,0.437862299,0.498253256,0.701617377,0.449793238,0.432013281,0.528052414,0.620161904,0.678522616
"N,N-Dihydroxy-L-valine",0.53126402,0.593962079,2.684011569,1.414512262,4.004263195,6.007263362,3.559082429,5.263027127,0.380693927,0.680632597,5.992212449,4.250918277,3.666543146,0.676036754,3.13375854,6.443617279
"N,N-Dimethyl-N-phenylurea",1.439945666,1.664913019,1.760955617,1.95354488,3.507490424,3.144505705,1.908256975,1.31990393,3.140694849,5.057306773,2.229936766,4.218589398,6.98229829,3.571350708,4.191750434,3.12211334
"N,N-Dimethyldecylamine N-oxide",4.934907589,0.194735197,4.246813672,2.496414663,0.035054474,6.242629135,5.055787642,2.82388318,5.692038552,6.90293164,0.141870559,6.246439267,0.12463642,5.306689634,0.212458355,0.121984731
"N,N-Dimethylglycine",123.3319083,109.0763886,133.4981312,120.4155179,101.3063307,167.3181953,142.5241952,58.90015213,55.10367414,37.90143905,131.0701009,57.64931357,52.08794021,50.27539056,72.50013843,193.5360539
"N,N-diacetyllegionaminic acid",0.132454161,0.095478049,0.106577609,0.076821965,0.202239565,0.181766266,0.209963014,0.189603518,0.351660847,0.750440252,0.17654583,0.720977785,0.351750935,0.368513342,0.516507079,0.223323354
"N,N-dimethylarginine",8.474704587,5.335416095,12.6414249,6.36090615,6.01825042,4.889511131,5.266467392,4.583817246,5.038195836,4.638647168,5.31356345,3.920791407,8.582520435,8.926452152,4.721591992,5.235030114
"N-(2,6,10,14-Tetramethylpentadecanoyl)glycine",2.052506318,3.915874966,1.368048916,2.26764509,1.666661109,1.189658456,0.835415644,0.990729008,1.458945114,1.152815315,1.163339396,5.294931734,2.679924174,1.033510444,2.414087008,1.507132727
N-(2-Amino-4-methylpentanoyl)glutamine,5.22631011,4.561110885,4.703609117,5.978541946,3.072647323,3.836040403,4.550676788,7.690722413,3.418341585,4.192903065,3.67963155,3.600398194,3.71307572,2.494594108,3.443541469,3.438895689
N-(2-Cyanoethyl)-L-glutamine,49.7425392,51.2099684,57.90130376,36.51209815,60.23257377,32.28155452,47.11131333,44.73519327,58.59112169,34.26001877,45.32646171,39.92945578,11.50838381,55.61809454,77.10706816,85.93958091
N-(2-OXOOXOLAN-3-YL)HEXANAMIDE,5.476161871,5.230517799,3.80315825,5.511713973,5.29313615,6.835082938,9.921658117,10.89518093,4.233830971,5.359673589,4.017863364,5.241556397,6.707806042,5.461870923,6.769772303,4.497362157
N-(2-Phenylethyl)-β-D-glucopyranuronosylamine,1.639948623,8.888207969,5.318231346,9.12432188,3.14971695,5.528258743,1.172046373,0.102327667,1.274696145,0.544375895,8.240679311,1.770052166,1.341738947,0.696886417,0.752390376,10.73844513
"N-(3,5-Dimethoxybenzoyl)glycine",0.280908484,0.371318785,0.379913107,0.710091321,0.679438495,0.378672364,0.483649435,0.322529377,0.842486018,0.637750429,0.432007027,0.272100736,0.495060487,0.942860299,0.392203995,0.362549155
N-(4-Amino-1-carboxybutyl)glutamic acid,0.077165854,0.056912863,0.113082408,0.065273175,0.042758008,0.044269474,0.045683595,0.050802299,0.068433777,0.432477926,0.101504325,0.279095039,0.30337008,0.08176959,0.06094506,0.234266171
"N-(4-Heptanyl)-1,3-benzodioxole-5-carboxamide",0.092887551,0.136415294,0.058897058,0.107021474,0.142154006,0.085823056,0.084165503,0.12275253,0.143192432,0.095543539,0.074383126,0.094724287,0.110109623,0.145034544,0.162739489,0.143473958
N-(Carboxymethyl)norleucine,0.503793565,0.792360083,0.87427034,0.711761843,0.477427208,0.619641528,0.224354294,0.779963435,0.603115885,0.713219121,0.95378117,0.616635046,0.706673562,0.317280604,0.847771679,0.895014169
N-(Hytroxymethy)micotinamide,1.025116043,8.436044636,7.35969551,11.12330154,10.90620649,4.395722398,2.897352568,5.90128292,9.957853801,28.21705774,1.97172198,0.570383354,0.1523658,16.21524655,12.02401239,4.443677966
N-(tert-Butoxycarbonyl)-L-leucine,0.57883521,0.656587028,0.417157486,0.536653024,0.913762529,0.59856267,0.715384508,0.584346137,0.554168084,0.519733863,0.15919746,0.608105256,1.067713473,0.513247172,0.83063507,0.624720521
N-(β-Ketooctanoyl)-L-homoserine,0.049609764,0.121582394,0.06884902,0.100313006,0.642997391,0.108854537,0.105614167,0.125672161,0.511036296,0.828384669,0.189556021,0.425209398,1.557171804,0.758949561,0.145431992,0.035269166
N-2-Ethylhexyl bicycloheptenedicarboximide,0.032242988,0.055899715,0.033080984,0.032728358,0.027371545,0.028994994,0.029391453,0.0369042,0.024238608,0.044169921,0.043567054,0.02493813,0.032722791,0.033152977,0.043745609,0.029446141
N-ACETYL ZONISAMIDE,0.079765645,0.045096466,0.193843564,0.032824777,0.146038295,0.150717455,0.240102124,0.222962049,0.254424815,0.150171187,0.040694833,0.115043971,0.169637769,3.72709478,0.473219355,0.387426308
N-Acetyl vitamin K5,0.366375209,0.302690049,0.260056923,0.363153884,0.38433962,0.385402026,0.340884603,0.290890117,0.58679715,0.517029085,0.554195453,0.631909057,0.480917713,0.468459985,0.331195339,0.465600216
N-Acetyl-6-oxo-L-norleucine,0.867569898,1.781684671,0.993437791,1.21781631,0.606837371,0.55928839,0.450245835,1.20357718,1.524070967,0.961508343,0.432899761,0.704583743,1.04499325,1.332716261,1.234346045,1.122103818
N-Acetyl-D-galactosamine,92.70404051,69.73723934,81.81083684,91.90346804,80.49954029,109.1021185,120.8212635,50.98115424,24.0103663,57.31569356,87.19098431,41.96599912,34.92270315,24.92167976,83.2208221,53.31311132
N-Acetyl-D-lactosamine,2.904367956,2.278027759,2.11245798,4.416730515,1.978146266,3.768434807,3.087201186,2.637860736,1.651547713,2.076583631,4.079133574,1.76172801,2.015702216,1.011998154,1.602003233,1.97077864
N-Acetyl-D-quinovosamine,3.764980862,2.836216754,3.950866797,3.6519863,1.577408503,3.123055143,3.808392323,3.979164113,1.229527092,2.039621057,3.566271771,3.199032189,2.768888418,1.813546304,2.027203772,2.632874559
N-Acetyl-DL-tryptophan,1.436137564,0.574787723,2.244643508,1.116881074,0.663368275,0.525239461,0.660537598,0.603240522,0.944813133,0.858240913,0.790108089,0.542000495,0.672656938,1.581749394,0.804820977,0.571134795
N-Acetyl-L-aspartic acid,0.852633806,0.089682018,1.275703141,0.046825842,0.074982341,0.07712823,0.286365905,0.074814955,0.264899595,0.080563069,0.189484801,0.504387624,0.695974761,0.050273086,0.14994853,0.145102552
N-Acetyl-L-glutamic acid,20.56794295,6.134497375,30.81690912,8.035980849,8.800554631,4.486644726,11.53271033,9.822789485,15.07284211,8.932519464,11.35227379,15.64328009,12.15435443,17.74895988,21.61335566,11.13376303
N-Acetyl-L-histidine,0.250673683,0.335174758,0.324616775,0.343407956,0.302701317,0.323556622,0.301737549,0.275585243,0.237619699,0.288943,0.329903551,0.333911531,0.208444961,0.212677215,0.454638767,0.360230777
N-Acetyl-L-leucine,0.387038337,0.833775946,0.623335208,0.54800208,0.398621048,0.502462355,0.652618645,0.661585322,0.654215688,0.784105699,0.900531539,0.642844947,0.698631016,0.984084799,1.069035845,0.786830373
