Metabolite,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,HFD7,HFD8
"(4S,9R,11R)-9,11-Dihydroxy-29-(4-hydroxyphenyl)-4-methyl-3-nonacosanone",8.848221463,8.251290309,16.92835986,7.662704541,10.50471641,10.25881183,11.01797112,19.07748801,8.183487903,10.53550639,10.94575041,17.49024731,11.34231016,13.79842304,14.8545646,16.45671474
"(5E,7E,10R,12R,13E,16R,17R,18S,22S)-22-Ethyl-10,12,16,18-tetrahydroxy-17-methyloxacyclodocosa-3,5,7,13-tetraen-2-one",0.757840253,0.75303686,0.511112519,1.157998026,1.45182206,2.255075206,3.082634724,3.092879781,1.562668038,3.72011268,0.71473934,3.42564674,2.471483444,0.644987563,0.846094062,1.769668896
"(5R)-5-[(1R)-1,2-Dihydroxyethyl]-4-hydroxy-2-oxo-2,5-dihydro-3-furanyl hydrogen sulfate",0.195609011,0.189781228,0.266994543,0.186287805,0.667228709,0.125816525,0.193283034,0.241319844,0.215143695,0.150185168,0.510929536,0.155364481,1.173392709,0.183622891,0.201264549,0.135584096
"(5R)-5-[(1S)-1,2-Dihydroxyethyl]-α-D-lyxopyranose",4.352296304,3.894519147,4.554828312,5.829580652,8.836617874,5.13765235,4.75585637,4.146485572,7.248192817,3.008803126,12.76757325,3.715014682,2.229201709,1.743636429,10.53141503,7.9251652
"(6R)-9-(β-D-Ribofuranosyl)-6,9-dihydro-1H-purin-6-ol",2.809744493,3.148928986,3.425767258,1.946834366,1.436774126,1.698736434,1.885074019,2.004610434,1.046890222,1.396873955,2.429410485,1.428909418,1.110106717,1.288300085,1.751313794,1.809850237
"(6R,8Z)-6-Hydroxy-3-oxo-8-tetradecenoic acid",6.863348042,2.168883342,9.366770884,6.79721697,4.278063841,9.133823729,11.72140243,15.18628388,9.79410299,10.11760961,5.029308908,9.068978649,2.633969771,4.647706975,12.3641942,6.357561366
"(6S)-1-{[4-(dimethylamino)-3-methylphenyl]methyl}-5-(2,2-diphenylacetyl)-4H,6H,7H-imidazo[4,5-c]pyridine-6-carboxylic acid",0.384869772,0.146312791,0.718681103,0.133815253,0.107742981,0.108724808,0.111168579,0.129395916,0.208906308,0.293583578,0.218019005,0.122555688,0.106494461,0.304178385,0.156636172,0.1261491
"(7R,14bR,15aS)-10-Acetyl-7-methyl-14b-(2-methyl-3-buten-2-yl)-10,14b,15,15a-tetrahydroindolo[3″,2″:4′,5′]pyrrolo[2′,1′:3,4]pyrazino[2,1-b]quinazoline-5,8(7H,9aH)-dione",0.762550234,0.819631835,0.367737196,0.506522179,2.434907092,0.362448416,0.444108178,20.51789181,0.388986617,5.442353588,5.325560058,0.684477142,0.540813468,0.535994426,0.781503109,0.657392794
"(8E,11Z)-8,11-Heptadecadienal",1.952768871,0.530500513,1.216238438,1.259237711,0.694315589,3.358099365,3.020024432,2.419643919,1.343675473,3.001912374,1.468103932,4.284041341,1.668069697,2.055257179,2.88845001,2.410031078
(9E)-11-Hydroxy-9-tridecenoic acid,1.062667936,2.165620848,1.240535891,2.049422093,3.29188051,1.967170411,1.383865851,0.69593376,1.823543702,1.878518709,1.411652295,2.003542418,1.953130521,1.543166459,1.655540785,2.980564933
"(9S,10R,11E,13S)-9,10,13-Trihydroxy-11-octadecenoic acid",0.84203356,1.158803742,1.272040918,0.983186469,0.862326187,0.854366144,0.933738534,1.227062253,0.762343386,0.984727519,0.922819426,1.047151781,0.918178145,1.035343333,1.169323093,1.02166103
(9Z)-12-Oxo-9-dodecenoic acid,0.557383402,0.228213376,0.588005733,0.599973998,0.318990343,0.840837256,0.61853956,1.61333063,1.203404726,1.25785294,0.54117358,0.801309237,1.013661288,0.357891226,1.203618049,0.341399143
"(9α,11α,15S)-9,11,15-Trihydroxyprostan-1-oic acid",0.526139742,0.531206972,0.562743799,0.518064908,0.915962996,0.520964975,0.554214204,0.493875541,0.422598921,0.526369576,0.438517063,0.609818788,0.532909691,0.575047583,0.663985652,0.633504297
(E)-5-hydroxyconiferyl alcohol,0.115436253,0.13425883,0.219172875,0.19808657,0.124102052,0.09338818,0.229845296,0.225628939,0.093493825,0.189772231,0.129704903,0.222671713,0.308808718,0.119931531,0.367842271,0.128612606
(E)-Ferulic acid,0.11127254,0.175264855,0.13650043,0.135178344,0.102216488,0.110314143,0.12254126,0.13286696,0.19305153,0.147611125,0.148929283,0.136188881,0.190994691,0.159169807,0.203266616,0.139912395
(Hydroxyethyl)methacrylate,0.113646089,0.133271302,0.141543542,0.135275241,0.092887139,0.115931966,0.13233641,0.125961712,0.087754287,0.096819164,0.202751507,0.090759578,0.097855075,0.103184772,0.133223094,0.146367187
(R)-3-hydroxybutyrylcarnitine,0.121596813,0.102260446,0.10639922,0.174167295,0.077347811,0.094667246,0.099936497,0.108015993,0.066269412,0.073822535,0.110877782,0.076688889,0.071795363,0.081852011,0.099748519,0.110532121
